Name,Location,Founded,Employees,About,Skills,Link
MeeTri Infotech - Senior Full Stack Engineer - Python + React.js,Job available in Delhi,2009,30,"MeeTri is an IT service company that offers end-to-end value-added IT solutions in the field of web and mobile application development, IoT, data analytics, telecommunication, device testing, and field testing.",['Flask'],https://www.instahyre.com/job-294452-senior-full-stack-engineer-python-reactjs-at-meetri-infotech-delhi/
Nativebyte - AI Developer,Job available in Noida,2014,125,"Nativebyte is a tech firm offering solutions in web and app applications, managed cloud, data analytics, cybersecurity, and more for both startups and enterprises, partnering with AWS, Microsoft, Jio, and others.","['Computer Vision', 'Java', 'Machine Learning', 'NLP', '+4', 'R', 'Keras', 'PyTorch', 'TensorFlow']",https://www.instahyre.com/job-294440-ai-developer-at-nativebyte-noida/
Navi Technologies - DevOps Engineer,Job available in Bangalore,2019,125,"Navi Technologies is building a consumer-centric and technology-driven business to make financial services simple and accessible for everyone by offering a range of loans, insurance, and more.","['AWS', 'DevOps', 'Shell Scripting', 'Grafana']",https://www.instahyre.com/job-294424-devops-engineer-at-navi-technologies-bangalore/
Our Sunday Visitor - Senior Software Engineer,Job available in Bangalore,1912,350,,"['Golang', 'Data Structures', 'RDBMS', 'Distributed Systems']",https://www.instahyre.com/job-294444-senior-software-engineer-at-our-sunday-visitor-bangalore/
Plate IQ - Full Stack Developer,Job available in Work From Home,2014,125,"Plate IQ makes restaurant accounting easy using automated accounts payable software replacing manual data entry by digitizing invoices down to the line item, specializing in one click bill pay, etc.","['Angular', 'JavaScript', 'AWS', 'PostgreSQL']",https://www.instahyre.com/job-294418-full-stack-developer-at-plate-iq-work-from-home/
Shield - ML Engineer,Job available in Bangalore,2008,125,"Shield is a risk intelligence company that offers solutions for device fingerprinting, enterprise-grade protection, ad fraud prevention, and alternative credit risk intelligence to empower businesses to stop fraud.","['Machine Learning', 'Algorithms', 'Fraud Management', '+1', 'Risk Assessment']",https://www.instahyre.com/job-294419-ml-engineer-at-shield-bangalore/
SiftHub - QA Engineer,Job available in Mumbai,2023,5,SiftHub is a technology company that empowers businesses in the sales industry with an AI assistant that crafts contextual responses and automates workflows to boost productivity and elevate sales responses.,"['Selenium', 'Manual Testing', 'Automation Testing', '+1', 'Quality Assurance']",https://www.instahyre.com/job-294411-qa-engineer-at-sifthub-mumbai/
Tech Mahindra - Senior Lead Consultant - DevOps,Job available in Bangalore,1986,1000,"Tech Mahindra is an MNC provider of IT, networking, and BPO services to various verticals & horizontals. With 1.2 lakhs professionals across 90 countries, it is valued at US$4.7 Billion. Ranked #15 in Forbes Digital List.","['DevOps', 'AWS']",https://www.instahyre.com/job-294493-senior-lead-consultant-devops-at-tech-mahindra-2-bangalore/
Vayavya Labs - Software Engineer / Senior Software Engineer,Job available in Bangalore,2006,125,"Vayavya Labs is an IT & Services company that offers solutions focusing on domains of Embedded Software for Automotive, IoT, Next generation Ethernet, Virtual Platforms development, etc.","['ADAS', 'JavaScript', 'C', 'Kotlin']",https://www.instahyre.com/job-294502-software-engineer-senior-software-engineer-at-vayavya-labs-bangalore/
Wayfair - Staff Site Reliability Engineer,Job available in Bangalore,2002,1000,"Wayfair is the online destination for the home and a pure-play online retailer that offers a wide range of home goods and furniture products for the bedroom, living room, kitchen and dining, bathroom, and more.","['AWS', 'DevOps', 'Cloud Computing', 'Docker']",https://www.instahyre.com/job-294497-staff-site-reliability-engineer-at-wayfair-bangalore/
